predicted,actual
371.14563,376.5996454112841
374.83035,375.1230615712656
374.74884,376.6046678052977
375.20657,376.6800037155028
375.5289,377.6091466080313
376.21844,387.5836211191762
382.48462,379.2765814205692
380.58893,382.64158540972676
381.00867,384.86148356376805
382.7537,386.75492610692095
384.7373,392.4754328884889
389.0107,390.9988490484705
389.99533,390.13499727811956
389.5036,391.2198343850719
389.84155,393.7008970278239
391.59296,396.24222839874005
393.97775,403.23340086576593
399.29016,396.02626545615226
397.0573,397.5631180243347
396.45926,399.65745632803424
397.71106,395.1774808678424
395.57837,394.86107004498126
394.27017,399.69261308613
396.86624,400.4057930360708
398.67297,402.9019228608639
400.82422,410.571118519735
406.488,419.13430031303915
414.3935,415.5181766231982
415.10168,416.13090869286566
415.06366,415.5884901393895
414.644,417.24085776988625
415.5647,413.629756474059
413.6767,412.4796282449289
412.03027,410.5912080957897
410.2624,406.96503961792143
407.30942,403.70550590305083
404.0792,405.473388595862
404.01984,407.17095777248176
405.36978,405.44325423177986
404.8852,404.96612680048145
404.22012,404.6296264015657
403.7429,406.0258519373655
404.47418,401.1340401680527
401.75122,396.89513962051683
397.77475,400.4007706420572
398.40225,406.33221797219915
402.8039,402.90694525487754
402.62616,397.332087899706
398.5861,391.3152598713316
392.99677,387.2069415681511
388.2765,388.6081894979645
387.45325,394.8861820150496
391.36014,394.9916522893367
393.38754,394.8208908928719
393.82986,390.75275174180075
391.30673,396.48330331139607
393.60986,391.06916256466184
391.61618,382.72696610795913
385.334,399.73781463225293
392.92603,399.858352088581
397.35236,403.7607522372012
401.11627,406.53813612675964
404.16885,404.3584171248276
403.83786,400.5162857043715
400.97513,409.3506767744137
405.29926,412.10797108791746
409.34546,410.0337223602726
409.4486,414.63423527679254
412.06015,422.70020006274353
418.45694,430.6305602103254
426.2897,428.4659083904345
427.68402,436.6825449967955
433.05228,435.6027302838569
434.489,439.9872802577891
437.60165,438.63625626811245
437.8576,443.4276201571517
440.97247,457.8469133703928
452.1269,451.8300853420184
452.23083,454.4869317752489
453.1706,454.16047616436043
453.30157,453.3820050922419
452.76486,444.58779317430907
446.44562,441.26799073127444
441.76596,436.52685078237175
437.19794,440.5096092352106
438.4698,434.01565377553766
434.95715,435.2461403088864
434.24545,435.4721480395015
434.383,433.67413098260835
433.2872,429.40509607099045
429.94226,429.7064397118105
428.84964,432.1774575665352
430.3296,439.73616055710573
436.12134,444.9895846954025
441.9768,439.776339709215
440.31143,435.85384998454026
